image_id,label_id
1,17 62 66 105 137 184 214 
2,17 53 66 105 164 184 214 
3,19 20 44 66 71 154 158 180 186 
4,53 66 153 164 190 
5,36 44 62 66 70 133 137 153 171 184 
6,17 20 62 66 98 105 131 164 166 184 222 
7,7 66 70 95 111 137 171 175 184 214 222 
8,17 20 62 66 105 116 137 184 222 
9,56 66 111 137 138 153 171 176 193 210 
10,49 53 61 105 106 111 
11,15 66 111 115 137 176 189 
12,18 19 44 53 66 117 148 153 164 181 184 
13,17 20 36 53 62 66 137 153 164 171 181 184 210 222 
14,66 137 144 171 176 184 193 
15,17 66 87 99 103 171 175 214 
16,17 36 44 62 66 135 137 171 175 184 
17,17 49 53 106 111 153 164 190 
18,17 20 47 66 98 105 148 153 
19,56 59 66 171 175 
20,18 44 66 98 105 128 153 164 184 222 
21,53 106 111 137 153 164 190 
22,17 20 47 66 99 124 137 171 180 
23,17 53 66 78 102 105 148 
24,17 20 36 62 66 137 171 176 184 210 214 222 
25,17 19 53 105 106 183 214 222 226 
26,66 98 131 139 171 186 203 
27,19 53 106 212 222 
28,17 49 65 66 73 105 126 222 224 
29,15 66 75 111 115 137 176 189 
30,14 32 66 97 105 131 
31,17 66 98 103 110 114 171 175 214 
32,17 53 66 78 105 153 184 
33,19 49 53 61 105 106 222 
34,17 37 53 66 90 106 132 
35,17 66 87 98 103 110 171 
36,11 17 18 19 53 66 78 105 153 164 210 222 
37,106 115 148 176 181 187 
38,19 59 66 151 169 
39,53 66 78 88 105 138 153 
40,40 59 66 79 165 184 
41,17 18 19 44 55 66 98 148 153 164 184 222 226 
42,17 18 53 66 105 131 137 153 159 164 184 
43,17 65 66 73 105 171 214 217 222 
44,17 62 66 70 79 98 105 148 153 184 
45,17 19 78 106 115 148 176 222 
46,17 25 49 105 106 126 224 
47,4 66 78 88 105 153 
48,53 106 212 
49,49 66 78 105 224 
50,49 53 78 105 106 153 
51,19 59 66 
52,17 66 137 148 171 176 184 189 
53,19 49 53 78 105 106 222 
54,19 20 47 66 105 137 153 176 
55,15 66 111 115 137 176 189 226 
56,15 66 135 137 176 
57,53 66 105 148 181 
58,17 53 78 88 105 106 153 
59,17 19 53 66 78 97 105 153 
60,17 106 115 176 187 222 
61,7 17 53 66 137 148 171 175 184 193 210 222 
62,17 65 66 73 78 105 
63,17 19 49 53 106 164 222 
64,20 47 62 66 105 111 137 153 171 176 184 226 
65,15 17 66 111 115 137 176 189 222 226 
66,4 17 53 66 153 164 181 184 222 
67,78 88 105 106 205 
68,78 88 105 106 205 
69,17 66 100 
70,19 59 92 106 151 
71,17 49 91 99 105 106 111 205 
72,17 66 137 176 189 222 
73,15 66 135 137 176 
74,17 53 81 106 
